taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"Meliola",,"",,"",,"","","","","","","","","","","Genus","Speg.","",,"Revista del Museo de La Plata,  15(2): 16 (1908)","","","",,""
,"polytricha",,"",,"",,"","","","","","","","","","","Species","Speg.","",,"Revista del Museo de La Plata,  15(2): 16 (1908)","","","",,""
,"flexuosiseta",,"",,"",,"Meliola polytricha var. flexuosiseta","","","","","","","","","","Variety","Speg.","ICBN",,"Revista del Museo de La Plata,  15(2): 16 (1908)","","Assumed Valid","",,""
,"Meliola",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 48","","","",,""
,"polytricha",,"",,"",,"","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 48","","","",,""
,"flexuosiseta",,"",,"",,"Meliola polytricha var. flexuosiseta","","","","","","","","","","Variety","","",,"Saccardo's Syll. fung. XXII: 48","","","",,""
,"Trichia",,"",,"",,"","","","","","","","","","","Genus","Fr.","",,"Index Fungorum","","","",,""
,"piriformis",,"",,"",,"Trichia piriformis","","","","","","","","","","Species","Fr.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Trichia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VII: 440","","","",,""
,"piriformis",,"",,"",,"Trichia piriformis","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VII: 440","","","",,""
,"Trichia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 422","","","",,""
,"piriformis",,"",,"",,"Trichia piriformis","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 422","","","",,""
,"Trichia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XX: 1307","","","",,""
,"piriformis",,"",,"",,"Trichia piriformis","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XX: 1307","","","",,""
,"Ascochyta",,"",,"",,"","","","","","","","","","","Genus","Oudem.","",,"Index Fungorum","","","",,""
,"salsolae",,"",,"",,"Ascochyta salsolae","","","","","","","","","","Species","Oudem.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Ascochyta",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XI: 524","","","",,""
,"salsolae",,"",,"",,"Ascochyta salsolae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XI: 524","","","",,""
,"Ascochyta",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 36","","","",,""
,"salsolae",,"",,"",,"Ascochyta salsolae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 36","","","",,""
,"Boletus",,"",,"",,"","","","","","","","","","","Genus","Thüm.","",,"Index Fungorum","","","",,""
,"amoenus",,"",,"",,"Boletus amoenus","","","","","","","","","","Species","Thüm.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Boletus",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VI: 49","","","",,""
,"amoenus",,"",,"",,"Boletus amoenus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VI: 49","","","",,""
,"Boletus",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 911","","","",,""
,"amoenus",,"",,"",,"Boletus amoenus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 911","","","",,""
,"Botryodiplodia",,"",,"",,"","","","","","","","","","","Genus","Syd. & P. Syd.","",,"Index Fungorum","","","",,""
,"rubi",,"",,"",,"Botryodiplodia rubi","","","","","","","","","","Species","Syd. & P. Syd.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Botryodiplodia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XVI: 924","","","",,""
,"rubi",,"",,"",,"Botryodiplodia rubi","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XVI: 924","","","",,""
